1637k  125.125.180.16:1720
1593k  125.125.180.16:1452
1580k  125.125.180.16:8848
1578k  125.125.180.16:25005
1573k  125.125.180.16:3095
1572k  125.125.180.16:18083
1565k  125.125.180.16:3097
1562k  125.125.180.16:9183
1531k  125.125.180.16:49671
1528k  125.125.180.16:161
1526k  125.125.180.16:1951
1518k  125.125.180.16:50060
1483k  125.125.180.16:7000
1442k  125.125.180.16:8888
1368k  125.125.180.16:9999
1357k  125.125.180.16:58888
1313k  125.125.180.16:9162
1298k  125.125.180.16:7443
481k  183.130.28.206:8889
